,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,harvest_area (ha),tonnes,Yield(hg/ha),"Ammonia, anhydrous",Ammonium nitrate (AN),Ammonium sulphate,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Diammonium phosphate (DAP),Fertilizers n.e.c.,Monoammonium phosphate (MAP),NPK fertilizers,Other NP compounds,"Other nitrogenous fertilizers, n.e.c.","Other phosphatic fertilizers, n.e.c.","Other potassic fertilizers, n.e.c.",PK compounds,Phosphate rock,Potassium chloride (muriate of potash) (MOP),Potassium nitrate,Potassium sulphate (sulphate of potash) (SOP),Sodium nitrate,Superphosphates above 35%,"Superphosphates, other",Urea,Urea and ammonium nitrate solutions (UAN)
19,2002,1787833,327387,479673,Other stone fruits,440,3400.0,77273,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
20,2002,1787833,327387,479673,Peaches and nectarines,100,500.0,50000,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
21,2002,1787833,327387,479673,Pears,2090,76139.0,364301,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
22,2002,1787833,327387,479673,"Peas, dry",148428,413227.0,27840,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
23,2002,1787833,327387,479673,"Peas, green",5139,26922.0,52388,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
24,2002,1787833,327387,479673,Plums and sloes,5000,45800.0,91600,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
25,2002,1787833,327387,479673,Potatoes,284078,11113856.0,391226,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
26,2002,1787833,327387,479673,Rape or colza seed,1296648,3848696.0,29682,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
27,2002,1787833,327387,479673,Rye,728388,3665996.0,50330,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
28,2002,1787833,327387,479673,Spinach,3257,55139.0,169294,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
29,2002,1787833,327387,479673,Strawberries,9930,105297.0,106039,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
