,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,harvest_area (ha),crop_production(tonnes),Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Bipiridils,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Sulfonyl ureas,Herbicides – Triazines,Herbicides – Uracil,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Chlorinated Hydrocarbons,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Anti-coagulants,Rodenticides – Other,Seed Treat Fung – Benzimidazoles,Seed Treat Fung – Botanical products and biologicals,Seed Treat Fung – Dithiocarbamates,Seed Treat Fung – Other,"Seed Treat Fung – Triazoles, diazoles",Seed Treat Insect – Carbamates,Seed Treat Insect – Organo-phosphates,Seed Treat Insect – Other,Seed Treat Insect – Pyrethroids
14,1990,1787300,609000,954400,"Onions and shallots, dry (excluding dehydrated)",6741,212368.0,31.5039,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
15,1990,1787300,609000,954400,"Other beans, green",6753,47460.0,7.028,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
16,1990,1787300,609000,954400,"Other vegetables, fresh n.e.c.",40000,750000.0,18.75,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
17,1990,1787300,609000,954400,"Peas, dry",23700,76700.0,3.2363,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
18,1990,1787300,609000,954400,"Peas, green",7913,85100.0,10.7545,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
19,1990,1787300,609000,954400,Poppy seed,4500,3200.0,0.7111,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
20,1990,1787300,609000,954400,Potatoes,561404,14471000.0,25.7764,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
21,1990,1787300,609000,954400,Rape or colza seed,722393,2088213.0,2.8907,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
22,1990,1787300,609000,954400,Rye,1055447,3988381.0,3.7789,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
23,1990,1787300,609000,954400,Soya beans,2403,4756.0,1.9792,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
