,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Triazines,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Other,Herbicides – Bipiridils,Herbicides – Sulfonyl ureas,Rodenticides – Anti-coagulants,Category,Nutrient nitrogen N (total) - tonnes-1,Nutrient nitrogen N (total) - tonnes-2,Nutrient nitrogen N (total) - tonnes-3,Nutrient phosphate P2O5 (total) - tonnes-1,Nutrient phosphate P2O5 (total) - tonnes-2,Nutrient phosphate P2O5 (total) - tonnes-3,Nutrient potash K2O (total) - tonnes-1,Nutrient potash K2O (total) - tonnes-2,Nutrient potash K2O (total) - tonnes-3,Yield(tonnes/ha)-1,Yield(tonnes/ha)-2,Yield(tonnes/ha)-3,Fung & Bact – Benzimidazoles-1,Fung & Bact – Benzimidazoles-2,Fung & Bact – Benzimidazoles-3,"Fung & Bact – Diazines, morpholines-1","Fung & Bact – Diazines, morpholines-2","Fung & Bact – Diazines, morpholines-3",Fung & Bact – Dithiocarbamates-1,Fung & Bact – Dithiocarbamates-2,Fung & Bact – Dithiocarbamates-3,Fung & Bact – Inorganics-1,Fung & Bact – Inorganics-2,Fung & Bact – Inorganics-3,Fung & Bact – Other-1,Fung & Bact – Other-2,Fung & Bact – Other-3,"Fung & Bact – Triazoles, diazoles-1","Fung & Bact – Triazoles, diazoles-2","Fung & Bact – Triazoles, diazoles-3",Herbicides – Amides-1,Herbicides – Amides-2,Herbicides – Amides-3,Herbicides – Carbamates-1,Herbicides – Carbamates-2,Herbicides – Carbamates-3,Herbicides – Dinitroanilines-1,Herbicides – Dinitroanilines-2,Herbicides – Dinitroanilines-3,Herbicides – Other-1,Herbicides – Other-2,Herbicides – Other-3,Herbicides – Phenoxy hormone products-1,Herbicides – Phenoxy hormone products-2,Herbicides – Phenoxy hormone products-3,Herbicides – Triazines-1,Herbicides – Triazines-2,Herbicides – Triazines-3,Herbicides – Urea derivates-1,Herbicides – Urea derivates-2,Herbicides – Urea derivates-3,Insecticides – Botanical products and biologicals-1,Insecticides – Botanical products and biologicals-2,Insecticides – Botanical products and biologicals-3,Insecticides – Carbamates-1,Insecticides – Carbamates-2,Insecticides – Carbamates-3,Insecticides – Organo-phosphates-1,Insecticides – Organo-phosphates-2,Insecticides – Organo-phosphates-3,Insecticides – Other-1,Insecticides – Other-2,Insecticides – Other-3,Insecticides – Pyrethroids-1,Insecticides – Pyrethroids-2,Insecticides – Pyrethroids-3,Mineral Oils-1,Mineral Oils-2,Mineral Oils-3,Plant Growth Regulators-1,Plant Growth Regulators-2,Plant Growth Regulators-3,Rodenticides – Other-1,Rodenticides – Other-2,Rodenticides – Other-3,Herbicides – Bipiridils-1,Herbicides – Bipiridils-2,Herbicides – Bipiridils-3,Herbicides – Sulfonyl ureas-1,Herbicides – Sulfonyl ureas-2,Herbicides – Sulfonyl ureas-3,Rodenticides – Anti-coagulants-1,Rodenticides – Anti-coagulants-2,Rodenticides – Anti-coagulants-3
1990-01-01,255388.81069142316,141418.67483396214,331000.58797427395,Apples,25.331101000000004,274.40242861692656,605.7839653652561,649.2175288396434,1829.067462024499,916.1358584610244,1016.9866379710468,479.18784064365286,705.310580064588,924.000001,3696.2491324031184,797.7461034498887,684.0122281714921,1229.9621390846326,1e-06,261.84000100000003,891.000001,968.3073506659242,37.017818371937636,643.369711467706,238.000001,81.03781837193765,109.6887166644395,259.43579164587976,5.000001,Fruits and Nuts,255386.22229652441,255383.62234629123,255381.01076317107,141416.60729461463,141414.53052518071,141412.44446371356,330998.0681256622,330995.5370277261,330992.9946049672,8.989120821826281,8.995664839285714,9.00155066442953,274.4015208833339,274.4006090973592,274.3996932318052,605.7790298738648,605.7740723490297,605.7690926428753,649.2117104161235,649.2058660174988,649.1999954694395,1829.069371737248,1829.071289975501,1829.073216796475,916.1383882103811,916.1409292532614,916.1434816654611,1016.9866082092899,1016.9865783146678,1016.9865482862889,479.20015209052065,479.2125184992049,479.22494023857666,705.3067060758674,705.3028147925546,705.2989060985783,727.5729631380848,728.0206706428572,728.4703813131991,3696.262738486421,3696.2764053111678,3696.2901332850183,797.7277206045655,797.7092556929686,797.6907081643176,684.0189146462615,684.0256309713648,684.0323773471396,1229.9464645592086,1229.9307200582246,1229.9149051120462,116.9961702650334,117.2149117142857,117.4346318724832,100.13777382850779,100.29022421428574,100.443356704698,292.4740321804009,293.126876,293.7826408210291,968.4082579034877,968.5096156197902,968.611426838179,37.01785805428049,37.01789791377665,37.017937951615075,643.3683077048278,643.3668976751512,643.3654813366169,1171.8187983273942,1173.1822331428573,1174.5517683378077,81.03785805428049,81.03789791377665,81.03793795161506,109.68802338084134,109.68732700222715,109.686627507825,259.4362499769395,259.43671035412024,259.437172791154,0.6683528930957685,0.6696215357142858,0.6708958545861299
1990-01-01,256551.000001,142347.000001,332132.000001,Apricots,1.582001,274.81000100000006,608.000001,651.8300009999997,1828.2100010000001,915.000001,1017.000001,473.6600010000003,707.050001,924.000001,3690.140001,806.000001,681.0100009999999,1237.000001,1e-06,261.84000100000003,891.000001,923.000001,37.000001,644.000001,238.000001,81.02000100000001,110.000001,259.230001,5.000001,Fruits and Nuts,255388.81069142316,255383.62234629123,255381.01076317107,141418.67483396214,141414.53052518071,141412.44446371356,331000.58797427395,330995.5370277261,330992.9946049672,25.331101000000004,8.995664839285714,9.00155066442953,274.40242861692656,274.4006090973592,274.3996932318052,605.7839653652561,605.7740723490297,605.7690926428753,649.2175288396434,649.2058660174988,649.1999954694395,1829.067462024499,1829.071289975501,1829.073216796475,916.1358584610244,916.1409292532614,916.1434816654611,1016.9866379710468,1016.9865783146678,1016.9865482862889,479.18784064365286,479.2125184992049,479.22494023857666,705.310580064588,705.3028147925546,705.2989060985783,924.000001,728.0206706428572,728.4703813131991,3696.2491324031184,3696.2764053111678,3696.2901332850183,797.7461034498887,797.7092556929686,797.6907081643176,684.0122281714921,684.0256309713648,684.0323773471396,1229.9621390846326,1229.9307200582246,1229.9149051120462,1e-06,117.2149117142857,117.4346318724832,261.84000100000003,100.29022421428574,100.443356704698,891.000001,293.126876,293.7826408210291,968.3073506659242,968.5096156197902,968.611426838179,37.017818371937636,37.01789791377665,37.017937951615075,643.369711467706,643.3668976751512,643.3654813366169,238.000001,1173.1822331428573,1174.5517683378077,81.03781837193765,81.03789791377665,81.03793795161506,109.6887166644395,109.68732700222715,109.686627507825,259.43579164587976,259.43671035412024,259.437172791154,5.000001,0.6696215357142858,0.6708958545861299
1990-01-01,256551.000001,142347.000001,332132.000001,Cherries,4.086701,274.81000100000006,608.000001,651.8300009999997,1828.2100010000001,915.000001,1017.000001,473.6600010000003,707.050001,924.000001,3690.140001,806.000001,681.0100009999999,1237.000001,1e-06,261.84000100000003,891.000001,923.000001,37.000001,644.000001,238.000001,81.02000100000001,110.000001,259.230001,5.000001,Fruits and Nuts,256551.000001,255388.81069142316,255381.01076317107,142347.000001,141418.67483396214,141412.44446371356,332132.000001,331000.58797427395,330992.9946049672,1.582001,25.331101000000004,9.00155066442953,274.81000100000006,274.40242861692656,274.3996932318052,608.000001,605.7839653652561,605.7690926428753,651.8300009999997,649.2175288396434,649.1999954694395,1828.2100010000001,1829.067462024499,1829.073216796475,915.000001,916.1358584610244,916.1434816654611,1017.000001,1016.9866379710468,1016.9865482862889,473.6600010000003,479.18784064365286,479.22494023857666,707.050001,705.310580064588,705.2989060985783,924.000001,924.000001,728.4703813131991,3690.140001,3696.2491324031184,3696.2901332850183,806.000001,797.7461034498887,797.6907081643176,681.0100009999999,684.0122281714921,684.0323773471396,1237.000001,1229.9621390846326,1229.9149051120462,1e-06,1e-06,117.4346318724832,261.84000100000003,261.84000100000003,100.443356704698,891.000001,891.000001,293.7826408210291,923.000001,968.3073506659242,968.611426838179,37.000001,37.017818371937636,37.017937951615075,644.000001,643.369711467706,643.3654813366169,238.000001,238.000001,1174.5517683378077,81.02000100000001,81.03781837193765,81.03793795161506,110.000001,109.6887166644395,109.686627507825,259.230001,259.43579164587976,259.437172791154,5.000001,5.000001,0.6708958545861299
1990-01-01,256551.000001,142347.000001,332132.000001,Currants,6.0422009999999995,274.81000100000006,608.000001,651.8300009999997,1828.2100010000001,915.000001,1017.000001,473.6600010000003,707.050001,924.000001,3690.140001,806.000001,681.0100009999999,1237.000001,1e-06,261.84000100000003,891.000001,923.000001,37.000001,644.000001,238.000001,81.02000100000001,110.000001,259.230001,5.000001,Fruits and Nuts,256551.000001,256551.000001,255388.81069142316,142347.000001,142347.000001,141418.67483396214,332132.000001,332132.000001,331000.58797427395,4.086701,1.582001,25.331101000000004,274.81000100000006,274.81000100000006,274.40242861692656,608.000001,608.000001,605.7839653652561,651.8300009999997,651.8300009999997,649.2175288396434,1828.2100010000001,1828.2100010000001,1829.067462024499,915.000001,915.000001,916.1358584610244,1017.000001,1017.000001,1016.9866379710468,473.6600010000003,473.6600010000003,479.18784064365286,707.050001,707.050001,705.310580064588,924.000001,924.000001,924.000001,3690.140001,3690.140001,3696.2491324031184,806.000001,806.000001,797.7461034498887,681.0100009999999,681.0100009999999,684.0122281714921,1237.000001,1237.000001,1229.9621390846326,1e-06,1e-06,1e-06,261.84000100000003,261.84000100000003,261.84000100000003,891.000001,891.000001,891.000001,923.000001,923.000001,968.3073506659242,37.000001,37.000001,37.017818371937636,644.000001,644.000001,643.369711467706,238.000001,238.000001,238.000001,81.02000100000001,81.02000100000001,81.03781837193765,110.000001,110.000001,109.6887166644395,259.230001,259.230001,259.43579164587976,5.000001,5.000001,5.000001
1990-01-01,256551.000001,142347.000001,332132.000001,Gooseberries,5.8120009999999995,274.81000100000006,608.000001,651.8300009999997,1828.2100010000001,915.000001,1017.000001,473.6600010000003,707.050001,924.000001,3690.140001,806.000001,681.0100009999999,1237.000001,1e-06,261.84000100000003,891.000001,923.000001,37.000001,644.000001,238.000001,81.02000100000001,110.000001,259.230001,5.000001,Fruits and Nuts,256551.000001,256551.000001,256551.000001,142347.000001,142347.000001,142347.000001,332132.000001,332132.000001,332132.000001,6.0422009999999995,4.086701,1.582001,274.81000100000006,274.81000100000006,274.81000100000006,608.000001,608.000001,608.000001,651.8300009999997,651.8300009999997,651.8300009999997,1828.2100010000001,1828.2100010000001,1828.2100010000001,915.000001,915.000001,915.000001,1017.000001,1017.000001,1017.000001,473.6600010000003,473.6600010000003,473.6600010000003,707.050001,707.050001,707.050001,924.000001,924.000001,924.000001,3690.140001,3690.140001,3690.140001,806.000001,806.000001,806.000001,681.0100009999999,681.0100009999999,681.0100009999999,1237.000001,1237.000001,1237.000001,1e-06,1e-06,1e-06,261.84000100000003,261.84000100000003,261.84000100000003,891.000001,891.000001,891.000001,923.000001,923.000001,923.000001,37.000001,37.000001,37.000001,644.000001,644.000001,644.000001,238.000001,238.000001,238.000001,81.02000100000001,81.02000100000001,81.02000100000001,110.000001,110.000001,110.000001,259.230001,259.230001,259.230001,5.000001,5.000001,5.000001
1990-01-01,256551.000001,142347.000001,332132.000001,Grapes,12.445901,274.81000100000006,608.000001,651.8300009999997,1828.2100010000001,915.000001,1017.000001,473.6600010000003,707.050001,924.000001,3690.140001,806.000001,681.0100009999999,1237.000001,1e-06,261.84000100000003,891.000001,923.000001,37.000001,644.000001,238.000001,81.02000100000001,110.000001,259.230001,5.000001,Fruits and Nuts,256551.000001,256551.000001,256551.000001,142347.000001,142347.000001,142347.000001,332132.000001,332132.000001,332132.000001,5.8120009999999995,6.0422009999999995,4.086701,274.81000100000006,274.81000100000006,274.81000100000006,608.000001,608.000001,608.000001,651.8300009999997,651.8300009999997,651.8300009999997,1828.2100010000001,1828.2100010000001,1828.2100010000001,915.000001,915.000001,915.000001,1017.000001,1017.000001,1017.000001,473.6600010000003,473.6600010000003,473.6600010000003,707.050001,707.050001,707.050001,924.000001,924.000001,924.000001,3690.140001,3690.140001,3690.140001,806.000001,806.000001,806.000001,681.0100009999999,681.0100009999999,681.0100009999999,1237.000001,1237.000001,1237.000001,1e-06,1e-06,1e-06,261.84000100000003,261.84000100000003,261.84000100000003,891.000001,891.000001,891.000001,923.000001,923.000001,923.000001,37.000001,37.000001,37.000001,644.000001,644.000001,644.000001,238.000001,238.000001,238.000001,81.02000100000001,81.02000100000001,81.02000100000001,110.000001,110.000001,110.000001,259.230001,259.230001,259.230001,5.000001,5.000001,5.000001
1990-01-01,256551.000001,142347.000001,332132.000001,Peaches and nectarines,4.566401,274.81000100000006,608.000001,651.8300009999997,1828.2100010000001,915.000001,1017.000001,473.6600010000003,707.050001,924.000001,3690.140001,806.000001,681.0100009999999,1237.000001,1e-06,261.84000100000003,891.000001,923.000001,37.000001,644.000001,238.000001,81.02000100000001,110.000001,259.230001,5.000001,Fruits and Nuts,256551.000001,256551.000001,256551.000001,142347.000001,142347.000001,142347.000001,332132.000001,332132.000001,332132.000001,12.445901,5.8120009999999995,6.0422009999999995,274.81000100000006,274.81000100000006,274.81000100000006,608.000001,608.000001,608.000001,651.8300009999997,651.8300009999997,651.8300009999997,1828.2100010000001,1828.2100010000001,1828.2100010000001,915.000001,915.000001,915.000001,1017.000001,1017.000001,1017.000001,473.6600010000003,473.6600010000003,473.6600010000003,707.050001,707.050001,707.050001,924.000001,924.000001,924.000001,3690.140001,3690.140001,3690.140001,806.000001,806.000001,806.000001,681.0100009999999,681.0100009999999,681.0100009999999,1237.000001,1237.000001,1237.000001,1e-06,1e-06,1e-06,261.84000100000003,261.84000100000003,261.84000100000003,891.000001,891.000001,891.000001,923.000001,923.000001,923.000001,37.000001,37.000001,37.000001,644.000001,644.000001,644.000001,238.000001,238.000001,238.000001,81.02000100000001,81.02000100000001,81.02000100000001,110.000001,110.000001,110.000001,259.230001,259.230001,259.230001,5.000001,5.000001,5.000001
1990-01-01,256551.000001,142347.000001,332132.000001,Pears,12.562000999999999,274.81000100000006,608.000001,651.8300009999997,1828.2100010000001,915.000001,1017.000001,473.6600010000003,707.050001,924.000001,3690.140001,806.000001,681.0100009999999,1237.000001,1e-06,261.84000100000003,891.000001,923.000001,37.000001,644.000001,238.000001,81.02000100000001,110.000001,259.230001,5.000001,Fruits and Nuts,256551.000001,256551.000001,256551.000001,142347.000001,142347.000001,142347.000001,332132.000001,332132.000001,332132.000001,4.566401,12.445901,5.8120009999999995,274.81000100000006,274.81000100000006,274.81000100000006,608.000001,608.000001,608.000001,651.8300009999997,651.8300009999997,651.8300009999997,1828.2100010000001,1828.2100010000001,1828.2100010000001,915.000001,915.000001,915.000001,1017.000001,1017.000001,1017.000001,473.6600010000003,473.6600010000003,473.6600010000003,707.050001,707.050001,707.050001,924.000001,924.000001,924.000001,3690.140001,3690.140001,3690.140001,806.000001,806.000001,806.000001,681.0100009999999,681.0100009999999,681.0100009999999,1237.000001,1237.000001,1237.000001,1e-06,1e-06,1e-06,261.84000100000003,261.84000100000003,261.84000100000003,891.000001,891.000001,891.000001,923.000001,923.000001,923.000001,37.000001,37.000001,37.000001,644.000001,644.000001,644.000001,238.000001,238.000001,238.000001,81.02000100000001,81.02000100000001,81.02000100000001,110.000001,110.000001,110.000001,259.230001,259.230001,259.230001,5.000001,5.000001,5.000001
1990-01-01,256551.000001,142347.000001,332132.000001,Plums and sloes,5.520101,274.81000100000006,608.000001,651.8300009999997,1828.2100010000001,915.000001,1017.000001,473.6600010000003,707.050001,924.000001,3690.140001,806.000001,681.0100009999999,1237.000001,1e-06,261.84000100000003,891.000001,923.000001,37.000001,644.000001,238.000001,81.02000100000001,110.000001,259.230001,5.000001,Fruits and Nuts,256551.000001,256551.000001,256551.000001,142347.000001,142347.000001,142347.000001,332132.000001,332132.000001,332132.000001,12.562000999999999,4.566401,12.445901,274.81000100000006,274.81000100000006,274.81000100000006,608.000001,608.000001,608.000001,651.8300009999997,651.8300009999997,651.8300009999997,1828.2100010000001,1828.2100010000001,1828.2100010000001,915.000001,915.000001,915.000001,1017.000001,1017.000001,1017.000001,473.6600010000003,473.6600010000003,473.6600010000003,707.050001,707.050001,707.050001,924.000001,924.000001,924.000001,3690.140001,3690.140001,3690.140001,806.000001,806.000001,806.000001,681.0100009999999,681.0100009999999,681.0100009999999,1237.000001,1237.000001,1237.000001,1e-06,1e-06,1e-06,261.84000100000003,261.84000100000003,261.84000100000003,891.000001,891.000001,891.000001,923.000001,923.000001,923.000001,37.000001,37.000001,37.000001,644.000001,644.000001,644.000001,238.000001,238.000001,238.000001,81.02000100000001,81.02000100000001,81.02000100000001,110.000001,110.000001,110.000001,259.230001,259.230001,259.230001,5.000001,5.000001,5.000001
1990-01-01,256551.000001,142347.000001,332132.000001,Raspberries,4.251601,274.81000100000006,608.000001,651.8300009999997,1828.2100010000001,915.000001,1017.000001,473.6600010000003,707.050001,924.000001,3690.140001,806.000001,681.0100009999999,1237.000001,1e-06,261.84000100000003,891.000001,923.000001,37.000001,644.000001,238.000001,81.02000100000001,110.000001,259.230001,5.000001,Fruits and Nuts,256551.000001,256551.000001,256551.000001,142347.000001,142347.000001,142347.000001,332132.000001,332132.000001,332132.000001,5.520101,12.562000999999999,4.566401,274.81000100000006,274.81000100000006,274.81000100000006,608.000001,608.000001,608.000001,651.8300009999997,651.8300009999997,651.8300009999997,1828.2100010000001,1828.2100010000001,1828.2100010000001,915.000001,915.000001,915.000001,1017.000001,1017.000001,1017.000001,473.6600010000003,473.6600010000003,473.6600010000003,707.050001,707.050001,707.050001,924.000001,924.000001,924.000001,3690.140001,3690.140001,3690.140001,806.000001,806.000001,806.000001,681.0100009999999,681.0100009999999,681.0100009999999,1237.000001,1237.000001,1237.000001,1e-06,1e-06,1e-06,261.84000100000003,261.84000100000003,261.84000100000003,891.000001,891.000001,891.000001,923.000001,923.000001,923.000001,37.000001,37.000001,37.000001,644.000001,644.000001,644.000001,238.000001,238.000001,238.000001,81.02000100000001,81.02000100000001,81.02000100000001,110.000001,110.000001,110.000001,259.230001,259.230001,259.230001,5.000001,5.000001,5.000001
