Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Triazines,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Other,Herbicides – Bipiridils,Herbicides – Sulfonyl ureas,Rodenticides – Anti-coagulants,yield_t-1,yield_t-2,yield_t-3
1995,1770000,401946,649000,Barley,5.6391,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,15.8809,6.7684,48.4238
1995,1770000,401946,649000,Cabbages,47.9055,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,5.6391,15.8809,6.7684
1995,1770000,401946,649000,Grapes,14.3997,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,47.9055,5.6391,15.8809
1995,1770000,401946,649000,Maize (corn),7.3664,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,14.3997,47.9055,5.6391
1995,1770000,401946,649000,Potatoes,31.4059,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,7.3664,14.3997,47.9055
1995,1770000,401946,649000,Rape or colza seed,3.1865,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,31.4059,7.3664,14.3997
1995,1770000,401946,649000,Rye,5.2489,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,3.1865,31.4059,7.3664
1995,1770000,401946,649000,Sugar beet,50.7922,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,5.2489,3.1865,31.4059
1995,1770000,401946,649000,Wheat,6.8882,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,50.7922,5.2489,3.1865
1996,1758008,415136,645781,Apples,24.1236,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,6.8882,50.7922,5.2489
1996,1758008,415136,645781,Barley,5.4673,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,24.1236,6.8882,50.7922
1996,1758008,415136,645781,Cabbages,50.2047,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,5.4673,24.1236,6.8882
1996,1758008,415136,645781,Grapes,12.3306,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,50.2047,5.4673,24.1236
1996,1758008,415136,645781,Maize (corn),7.8272,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,12.3306,50.2047,5.4673
1996,1758008,415136,645781,Potatoes,39.0096,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,7.8272,12.3306,50.2047
1996,1758008,415136,645781,Rape or colza seed,2.3076,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,39.0096,7.8272,12.3306
1996,1758008,415136,645781,Rye,5.2084,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,2.3076,39.0096,7.8272
1996,1758008,415136,645781,Sugar beet,50.5632,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,5.2084,2.3076,39.0096
1996,1758008,415136,645781,Wheat,7.2932,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,50.5632,5.2084,2.3076
1997,1788388,409536,658895,Apples,21.3575,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,7.2932,50.5632,5.2084
1997,1788388,409536,658895,Barley,5.8923,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,21.3575,7.2932,50.5632
1997,1788388,409536,658895,Cabbages,49.2611,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,5.8923,21.3575,7.2932
1997,1788388,409536,658895,Grapes,11.191,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,49.2611,5.8923,21.3575
1997,1788388,409536,658895,Maize (corn),8.6577,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,11.191,49.2611,5.8923
1997,1788388,409536,658895,Potatoes,38.4055,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,8.6577,11.191,49.2611
1997,1788388,409536,658895,Rape or colza seed,3.1363,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,38.4055,8.6577,11.191
1997,1788388,409536,658895,Rye,5.4304,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,3.1363,38.4055,8.6577
1997,1788388,409536,658895,Sugar beet,51.1628,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,5.4304,3.1363,38.4055
1997,1788388,409536,658895,Wheat,7.2902,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,51.1628,5.4304,3.1363
1998,1903017,406678,628733,Apples,27.2961,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,7.2902,51.1628,5.4304
1998,1903017,406678,628733,Barley,5.7373,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,27.2961,7.2902,51.1628
1998,1903017,406678,628733,Cabbages,48.1636,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,5.7373,27.2961,7.2902
1998,1903017,406678,628733,Grapes,14.3865,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,48.1636,5.7373,27.2961
1998,1903017,406678,628733,Maize (corn),8.1561,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,14.3865,48.1636,5.7373
1998,1903017,406678,628733,Potatoes,38.1394,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,8.1561,14.3865,48.1636
1998,1903017,406678,628733,Rape or colza seed,3.3636,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,38.1394,8.1561,14.3865
1998,1903017,406678,628733,Rye,5.0991,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,3.3636,38.1394,8.1561
1998,1903017,406678,628733,Sugar beet,53.215,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,5.0991,3.3636,38.1394
1998,1903017,406678,628733,Wheat,7.2035,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,53.215,5.0991,3.3636
1999,2014010,420000,599150,Apples,28.9413,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,7.2035,53.215,5.0991
1999,2014010,420000,599150,Barley,6.0176,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,28.9413,7.2035,53.215
1999,2014010,420000,599150,Cabbages,53.8566,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,6.0176,28.9413,7.2035
1999,2014010,420000,599150,Grapes,16.3722,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,53.8566,6.0176,28.9413
1999,2014010,420000,599150,Maize (corn),8.785,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,16.3722,53.8566,6.0176
1999,2014010,420000,599150,Potatoes,37.4989,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,8.785,16.3722,53.8566
1999,2014010,420000,599150,Rape or colza seed,3.5763,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,37.4989,8.785,16.3722
1999,2014010,420000,599150,Rye,5.7857,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,3.5763,37.4989,8.785
