,Crop,Variable,Correlation
100,"Broad beans and horse beans, dry","Other phosphatic fertilizers, n.e.c.",0.0790790061311308
101,"Broad beans and horse beans, dry","Other potassic fertilizers, n.e.c.",0.03686056954106556
102,"Broad beans and horse beans, dry",PK compounds,-0.1793046165723237
103,"Broad beans and horse beans, dry",Phosphate rock,-0.0019173025163533313
104,"Broad beans and horse beans, dry",Potassium chloride (muriate of potash) (MOP),0.37097351074038054
105,"Broad beans and horse beans, dry",Potassium nitrate,-0.14019130593139228
106,"Broad beans and horse beans, dry",Potassium sulphate (sulphate of potash) (SOP),0.23972184136618735
107,"Broad beans and horse beans, dry",Sodium nitrate,-0.1616682761328537
108,"Broad beans and horse beans, dry",Superphosphates above 35%,-0.1326133509310424
109,"Broad beans and horse beans, dry","Superphosphates, other",-0.8616783985044032
110,"Broad beans and horse beans, dry",Urea,0.29346613487376716
111,"Broad beans and horse beans, dry",Urea and ammonium nitrate solutions (UAN),0.03741186709883562
112,"Broad beans and horse beans, green",Year,-0.7990072392915512
113,"Broad beans and horse beans, green",Nutrient nitrogen N (total) - tonnes,0.6207745447986668
114,"Broad beans and horse beans, green",Nutrient phosphate P2O5 (total) - tonnes,0.5129175654926937
115,"Broad beans and horse beans, green",Nutrient potash K2O (total) - tonnes,0.28128201360932825
116,"Broad beans and horse beans, green",harvest_area (ha),-0.9136394871756878
117,"Broad beans and horse beans, green",tonnes,-0.2827959305410549
118,"Broad beans and horse beans, green","Ammonia, anhydrous",-0.8184412340113622
119,"Broad beans and horse beans, green",Ammonium nitrate (AN),0.9176411484253586
120,"Broad beans and horse beans, green",Ammonium sulphate,-0.28322182047945244
121,"Broad beans and horse beans, green",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.2938208328510443
122,"Broad beans and horse beans, green",Diammonium phosphate (DAP),-0.45280228011915763
123,"Broad beans and horse beans, green",Fertilizers n.e.c.,-0.18025832013338447
124,"Broad beans and horse beans, green",Monoammonium phosphate (MAP),0.8127180361178229
125,"Broad beans and horse beans, green",NPK fertilizers,0.7508906478841257
126,"Broad beans and horse beans, green",Other NP compounds,0.5981793840339312
127,"Broad beans and horse beans, green","Other nitrogenous fertilizers, n.e.c.",-0.6571724412175103
128,"Broad beans and horse beans, green","Other phosphatic fertilizers, n.e.c.",0.6449833384849912
129,"Broad beans and horse beans, green","Other potassic fertilizers, n.e.c.",-0.5538452175467434
130,"Broad beans and horse beans, green",PK compounds,0.6983630541014921
131,"Broad beans and horse beans, green",Phosphate rock,0.59727898922594
132,"Broad beans and horse beans, green",Potassium chloride (muriate of potash) (MOP),-0.35304068024971397
133,"Broad beans and horse beans, green",Potassium nitrate,-0.47298099675210536
134,"Broad beans and horse beans, green",Potassium sulphate (sulphate of potash) (SOP),-0.35851511866990377
135,"Broad beans and horse beans, green",Sodium nitrate,0.16315211358901036
136,"Broad beans and horse beans, green",Superphosphates above 35%,0.8154635128724093
137,"Broad beans and horse beans, green","Superphosphates, other",-0.6392760614890113
138,"Broad beans and horse beans, green",Urea,-0.2760069750561527
139,"Broad beans and horse beans, green",Urea and ammonium nitrate solutions (UAN),0.7265650483028787
140,Cabbages,Year,0.5306556306410887
141,Cabbages,Nutrient nitrogen N (total) - tonnes,-0.11475353434524234
142,Cabbages,Nutrient phosphate P2O5 (total) - tonnes,-0.13203124165041155
143,Cabbages,Nutrient potash K2O (total) - tonnes,-0.14582600733039136
144,Cabbages,harvest_area (ha),-0.353951769810326
145,Cabbages,tonnes,0.5413709186887201
146,Cabbages,"Ammonia, anhydrous",0.468779045044639
147,Cabbages,Ammonium nitrate (AN),-0.6006010103053205
148,Cabbages,Ammonium sulphate,0.44238956365563037
