,Year,Item,harvest_area (ha),Yield(hg/ha)
2103,1986,Unmanufactured tobacco,6761,20343
2104,1987,Unmanufactured tobacco,6735,17283
2105,1988,Unmanufactured tobacco,6678,19184
2106,1989,Unmanufactured tobacco,6849,18219
2107,1990,Unmanufactured tobacco,5502,18977
2108,1991,Unmanufactured tobacco,3383,20364
2109,1992,Unmanufactured tobacco,2987,27161
2110,1993,Unmanufactured tobacco,3798,22912
2111,1994,Unmanufactured tobacco,4066,19041
2112,1995,Unmanufactured tobacco,3576,19116
2113,1996,Unmanufactured tobacco,3414,24347
2114,1997,Unmanufactured tobacco,3492,24353
2115,1998,Unmanufactured tobacco,3847,25542
2116,1999,Unmanufactured tobacco,4546,24549
2117,2000,Unmanufactured tobacco,4576,24006
2118,2001,Unmanufactured tobacco,4624,24743
2119,2002,Unmanufactured tobacco,4727,23905
2120,2003,Unmanufactured tobacco,4700,24734
2121,2004,Unmanufactured tobacco,4448,22709
2122,2005,Unmanufactured tobacco,4459,24436
2123,2006,Unmanufactured tobacco,3357,25365
2124,2007,Unmanufactured tobacco,3270,23670
2125,2008,Unmanufactured tobacco,3143,26532
2126,2009,Unmanufactured tobacco,3091,26603
2127,2010,Unmanufactured tobacco,2356,25976
2128,1961,Vetches,12519,8291
2129,1962,Vetches,13258,9431
2130,1963,Vetches,13201,7096
2131,1992,Vetches,1000,9500
2132,1993,Vetches,500,9000
2133,1994,Vetches,200,7500
2134,1985,"Walnuts, in shell",5280,17045
2135,1986,"Walnuts, in shell",5280,24811
2136,1987,"Walnuts, in shell",5250,11619
2137,1988,"Walnuts, in shell",5280,26894
2138,1989,"Walnuts, in shell",5140,22957
2139,1990,"Walnuts, in shell",5120,23828
2140,1991,"Walnuts, in shell",5120,9961
2141,1992,"Walnuts, in shell",5120,35352
2142,1993,"Walnuts, in shell",5120,32227
2143,1994,"Walnuts, in shell",5120,27930
2144,1995,"Walnuts, in shell",5120,26953
2145,1997,"Walnuts, in shell",3500,21960
2146,1998,"Walnuts, in shell",4500,33778
2147,2000,"Walnuts, in shell",6000,30333
2148,2001,"Walnuts, in shell",4500,34889
2149,1961,Wheat,1774628,28607
2150,1962,Wheat,1742400,33898
2151,1963,Wheat,1808211,33934
2152,1964,Wheat,1880078,34845
2153,1965,Wheat,1902596,32321
2154,1966,Wheat,1872840,32325
2155,1967,Wheat,1947141,40216
2156,1968,Wheat,2033856,42162
2157,1969,Wheat,2054492,38877
2158,1970,Wheat,2091560,37264
2159,1971,Wheat,2177684,44229
2160,1972,Wheat,2315879,40380
2161,1973,Wheat,2299046,43477
2162,1974,Wheat,2359547,46257
2163,1975,Wheat,2257525,43188
2164,1976,Wheat,2393376,39344
2165,1977,Wheat,2330285,43553
2166,1978,Wheat,2305177,48869
2167,1979,Wheat,2339502,47776
2168,1980,Wheat,2374806,47389
2169,1981,Wheat,2306455,48797
2170,1982,Wheat,2168642,52433
2171,1983,Wheat,2409210,52084
2172,1984,Wheat,2380860,59331
2173,1985,Wheat,2367540,58295
2174,1986,Wheat,2396842,60919
2175,1987,Wheat,2418963,57757
2176,1988,Wheat,2508698,62266
2177,1989,Wheat,2553725,56815
2178,1990,Wheat,2429610,62734
2179,1991,Wheat,2453332,67712
2180,1992,Wheat,2598471,59811
2181,1993,Wheat,2394642,65841
2182,1994,Wheat,2434910,67684
2183,1995,Wheat,2578793,68882
2184,1996,Wheat,2594418,72932
2185,1997,Wheat,2719643,72902
2186,1998,Wheat,2802455,72035
2187,1999,Wheat,2601122,75411
2188,2000,Wheat,2968940,72826
2189,2001,Wheat,2897202,78827
2190,2002,Wheat,3014620,69056
2191,2003,Wheat,2963731,64985
2192,2004,Wheat,3111651,81716
2193,2005,Wheat,3173800,74651
2194,2006,Wheat,3114700,72007
2195,2007,Wheat,2992075,69611
2196,2008,Wheat,3213485,80873
2197,2009,Wheat,3226036,78091
2198,2010,Wheat,3297699,72120
2199,2011,Wheat,3248200,70139
2200,2012,Wheat,3056700,73312
2201,2013,Wheat,3128200,79979
2202,2014,Wheat,3219700,86296
2203,2015,Wheat,3282700,80877
2204,2016,Wheat,3201700,76409
2205,2017,Wheat,3202600,76443
2206,2018,Wheat,3036300,66737
2207,2019,Wheat,3118100,73964
2208,2020,Wheat,2835500,78195
2209,2021,Wheat,2939000,73015
