"smu","erodi","erodi_c","erodi_p","txerod","txerod_c","txerod_p","crusting","crusting_c","crusting_p","physchim","physchim_c","physchim_p","txcrust","txcrust_c","txcrust_p","eawc_sub","eawc_sub_c","eawc_sub_p","awc_sub","awc_sub_c","awc_sub_p","eawc_top","eawc_top_c","eawc_top_p","awc_top","awc_top_c","awc_top_p","pd_sub","pd_sub_c","pd_sub_p","pd_top","pd_top_c","pd_top_p","str_sub","str_sub_c","str_sub_p","str_top","str_top_c","str_top_p","td","td_c","td_p","vs","vs_c","vs_p","dr","dr_c","dr_p","bs_sub","bs_sub_c","bs_sub_p","bs_top","bs_top_c","bs_top_p","cec_sub","cec_sub_c","cec_sub_p","cec_top","cec_top_c","cec_top_p","min_sub","min_sub_c","min_sub_p","min_top","min_top_c","min_top_p","min","min_c","min_p","diff","diff_c","diff_p","atc","atc_c","atc_p","hg","hg_c","hg_p","dimp","dimp_c","dimp_p","dgh","dgh_c","dgh_p","pmh","pmh_c","pmh_p","peat","peat_c","peat_p","oc_top","oc_top_c","oc_top_p","alt","alt_c","alt_p","use","use_c","use_p","agli2nni","agli2nni_c","agli2nni_p","agli1nni","agli1nni_c","agli1nni_p","text","text_c","text_p"
"1","0","v","100.000000","0","v","100.000000","3","v","100.000000","3","h","100.000000","3","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","M","v","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","0","v","100.000000","00","m","100.000000"," ","v","100.000000","H","l","100.000000","H","v","100.000000","M","v","100.000000","M","v","100.000000","NA","h","100.000000","NA","h","100.000000","  ","v","100.000000"," ","v","100.000000","#","h","100.000000","1C","v","100.000000","D","v","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","h","100.000000","# ","v","100.000000","1","h","100.000000","1","h","100.000000","0","v","100.000000"
"2","0","v","100.000000","0","v","100.000000","3","v","100.000000","3","h","100.000000","3","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","M","v","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","0","v","100.000000","00","m","100.000000"," ","v","100.000000","H","l","100.000000","H","v","100.000000","M","v","100.000000","M","v","100.000000","NA","h","100.000000","NA","h","100.000000","  ","v","100.000000"," ","v","100.000000","#","h","100.000000","1C","v","100.000000","D","v","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","h","100.000000","# ","v","100.000000","1","h","100.000000","1","h","100.000000","0","v","100.000000"
"3","0","v","100.000000","0","v","100.000000","3","v","100.000000","3","h","100.000000","3","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","M","v","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","0","v","100.000000","00","m","100.000000"," ","v","100.000000","H","l","100.000000","H","v","100.000000","M","v","100.000000","M","v","100.000000","NA","h","100.000000","NA","h","100.000000","  ","v","100.000000"," ","v","100.000000","#","h","100.000000","1C","v","100.000000","D","v","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","h","100.000000","# ","v","100.000000","1","h","100.000000","1","h","100.000000","0","v","100.000000"
"4","0","v","100.000000","0","v","100.000000","3","v","100.000000","3","h","100.000000","3","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","M","v","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","0","v","100.000000","00","m","100.000000"," ","v","100.000000","H","l","100.000000","H","v","100.000000","M","v","100.000000","M","v","100.000000","NA","h","100.000000","NA","h","100.000000","  ","v","100.000000"," ","v","100.000000","#","h","100.000000","1C","v","100.000000","D","v","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","h","100.000000","# ","v","100.000000","1","h","100.000000","1","h","100.000000","0","v","100.000000"
"5","0","v","100.000000","0","v","100.000000","3","v","100.000000","3","h","100.000000","3","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","M","v","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","0","v","100.000000","00","m","100.000000"," ","v","100.000000","H","l","100.000000","H","v","100.000000","M","v","100.000000","M","v","100.000000","NA","h","100.000000","NA","h","100.000000","  ","v","100.000000"," ","v","100.000000","#","h","100.000000","1C","v","100.000000","D","v","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","h","100.000000","# ","v","100.000000","1","h","100.000000","1","h","100.000000","0","v","100.000000"
"6","0","v","100.000000","0","v","100.000000","3","v","100.000000","3","h","100.000000","3","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","# ","v","100.000000","M","v","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","0","v","100.000000","00","m","100.000000"," ","v","100.000000","H","l","100.000000","H","v","100.000000","M","v","100.000000","M","v","100.000000","NA","h","100.000000","NA","h","100.000000","  ","v","100.000000"," ","v","100.000000","#","h","100.000000","1C","v","100.000000","D","v","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","h","100.000000","# ","v","100.000000","1","h","100.000000","1","h","100.000000","0","v","100.000000"
"70001","4","l","100.000000","4","l","100.000000","3","l","100.000000","4","l","100.000000","2","l","100.000000","M ","l","100.000000","M ","l","100.000000","M ","v","100.000000","M ","v","100.000000","L","l","100.000000","L","v","100.000000","G","l","100.000000","G","v","80.000000","1","l","100.000000","15","m","100.000000","M","l","100.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","80.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","100.000000","3 ","v","80.000000","S","l","80.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","M","v","80.000000","L","m","100.000000","# ","v","100.000000","3","m","100.000000","2","m","100.000000","1","l","100.000000"
"70002","4","l","100.000000","4","l","100.000000","3","l","100.000000","4","l","100.000000","2","l","100.000000","M ","l","100.000000","M ","l","100.000000","M ","v","100.000000","M ","v","100.000000","L","l","100.000000","L","v","100.000000","G","l","100.000000","G","v","80.000000","1","l","100.000000","15","m","100.000000","M","l","100.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","80.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","100.000000","3 ","v","80.000000","S","l","80.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","M","v","80.000000","L","m","100.000000","# ","v","100.000000","3","m","100.000000","2","m","100.000000","1","l","100.000000"
"70003","4","l","90.000000","4","l","90.000000","3","l","100.000000","4","l","90.000000","2","l","90.000000","M ","l","90.000000","M ","l","90.000000","M ","v","90.000000","M ","v","90.000000","L","l","90.000000","L","v","90.000000","G","l","90.000000","G","v","90.000000","1","l","90.000000","15","m","90.000000","M","l","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","l","100.000000","NA","l","100.000000","ND","l","90.000000","O","l","90.000000","#","m","90.000000","3 ","v","90.000000","S","l","90.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","M","v","90.000000","L","m","100.000000","# ","v","100.000000","3","m","90.000000","2","m","90.000000","1","l","90.000000"
"70004","4","l","90.000000","4","l","90.000000","3","l","90.000000","4","l","90.000000","2","l","90.000000","M ","l","90.000000","M ","l","90.000000","M ","v","90.000000","M ","v","90.000000","L","l","100.000000","L","v","100.000000","G","l","90.000000","G","v","90.000000","1","l","90.000000","15","m","90.000000","M","l","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","100.000000","3 ","v","90.000000","S","l","90.000000","V","l","100.000000","#","v","100.000000","N","l","90.000000","M","v","90.000000","L","m","100.000000","# ","v","100.000000","3","m","90.000000","2","m","90.000000","1","l","90.000000"
"70005","4","l","90.000000","4","l","100.000000","3","l","90.000000","4","l","90.000000","2","l","90.000000","M ","l","90.000000","M ","l","90.000000","M ","v","90.000000","M ","v","90.000000","L","l","90.000000","L","v","100.000000","G","l","90.000000","G","v","100.000000","1","l","90.000000","15","m","90.000000","M","l","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","100.000000","3 ","v","90.000000","S","l","90.000000","V","l","90.000000","#","v","100.000000","N","l","100.000000","M","v","100.000000","L","m","100.000000","# ","v","100.000000","3","m","90.000000","2","m","90.000000","1","l","90.000000"
"70006","4","l","100.000000","4","l","100.000000","3","l","100.000000","4","l","100.000000","2","l","100.000000","M ","l","100.000000","M ","l","100.000000","M ","v","100.000000","M ","v","100.000000","L","l","100.000000","L","v","100.000000","G","l","100.000000","G","v","100.000000","1","l","100.000000","15","m","100.000000","M","l","100.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","100.000000","3 ","v","100.000000","S","l","100.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","M","v","100.000000","L","m","100.000000","# ","v","100.000000","3","m","100.000000","2","m","100.000000","1","l","100.000000"
"70007","4","l","100.000000","4","l","100.000000","3","l","100.000000","4","l","100.000000","2","l","100.000000","L ","l","100.000000","L ","l","100.000000","M ","v","100.000000","M ","v","100.000000","M","l","100.000000","M","v","100.000000","N","l","100.000000","N","v","100.000000","1","l","100.000000","00","m","100.000000","D","l","100.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","H","m","100.000000","1C","v","100.000000","D","l","100.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","V","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","20","m","100.000000","1","l","100.000000"
"70008","4","l","90.000000","4","l","90.000000","3","l","80.000000","4","l","90.000000","2","l","80.000000","L ","l","80.000000","L ","l","80.000000","M ","v","80.000000","M ","v","80.000000","M","l","100.000000","M","v","100.000000","N","l","100.000000","N","v","100.000000","1","l","80.000000","00","m","100.000000","D","l","80.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","80.000000","1C","v","100.000000","D","l","100.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","80.000000","20","m","80.000000","1","l","80.000000"
"70009","4","l","90.000000","4","l","90.000000","3","l","100.000000","4","l","90.000000","2","l","90.000000","L ","l","90.000000","L ","l","90.000000","M ","v","90.000000","M ","v","90.000000","M","l","100.000000","M","v","90.000000","N","l","100.000000","N","v","90.000000","1","l","90.000000","00","m","100.000000","D","l","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","100.000000","1C","v","90.000000","D","l","100.000000","V","l","90.000000","#","v","100.000000","N","l","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","20","m","100.000000","1","l","90.000000"
"70010","4","l","100.000000","4","l","100.000000","3","l","100.000000","4","l","90.000000","2","l","90.000000","L ","l","90.000000","L ","l","90.000000","M ","v","90.000000","M ","v","90.000000","M","l","100.000000","M","v","100.000000","N","l","100.000000","N","v","100.000000","1","l","90.000000","00","m","100.000000","D","l","100.000000","H","l","95.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","100.000000","1C","v","90.000000","D","l","100.000000","V","l","90.000000","#","v","100.000000","N","l","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","20","m","100.000000","1","l","90.000000"
"70011","4","l","90.000000","4","l","90.000000","3","l","100.000000","4","l","90.000000","2","l","90.000000","L ","l","90.000000","L ","l","90.000000","M ","v","90.000000","M ","v","90.000000","M","l","100.000000","M","v","90.000000","N","l","100.000000","N","v","90.000000","1","l","90.000000","00","m","100.000000","D","l","100.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","90.000000","1C","v","100.000000","D","l","100.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","20","m","90.000000","1","l","90.000000"
"70012","4","l","100.000000","4","l","100.000000","3","l","100.000000","4","l","100.000000","2","l","100.000000","L ","l","100.000000","L ","l","100.000000","M ","v","100.000000","M ","v","100.000000","M","l","100.000000","M","v","90.000000","N","l","100.000000","N","v","90.000000","1","l","100.000000","00","m","90.000000","D","l","100.000000","H","l","90.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","l","100.000000","NA","l","100.000000","ND","l","90.000000","O","l","90.000000","#","m","90.000000","1C","v","90.000000","D","l","100.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","20","m","90.000000","1","l","100.000000"
"70013","4","l","100.000000","4","l","100.000000","3","l","100.000000","4","l","100.000000","2","l","100.000000","L ","l","100.000000","L ","l","100.000000","M ","v","100.000000","M ","v","100.000000","M","l","100.000000","M","v","100.000000","N","l","100.000000","N","v","100.000000","1","l","100.000000","00","m","100.000000","D","l","100.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","90.000000","1C","v","100.000000","D","l","100.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","20","m","100.000000","1","l","100.000000"
"70014","4","l","100.000000","4","l","100.000000","3","l","90.000000","4","l","90.000000","2","l","90.000000","L ","l","90.000000","L ","l","90.000000","M ","v","90.000000","M ","v","90.000000","M","l","100.000000","M","v","100.000000","N","l","100.000000","N","v","100.000000","1","l","90.000000","00","m","90.000000","D","l","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","100.000000","1C","v","100.000000","D","l","100.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","20","m","90.000000","1","l","90.000000"
"70015","4","l","90.000000","4","l","90.000000","3","l","90.000000","4","l","90.000000","2","l","90.000000","L ","l","90.000000","L ","l","90.000000","M ","v","90.000000","M ","v","90.000000","M","l","100.000000","M","v","100.000000","N","l","100.000000","N","v","100.000000","1","l","90.000000","00","m","100.000000","D","l","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","90.000000","1C","v","100.000000","D","l","100.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","20","m","90.000000","1","l","90.000000"
"70016","4","l","100.000000","4","l","100.000000","3","l","100.000000","4","l","100.000000","2","l","100.000000","L ","l","100.000000","L ","l","100.000000","M ","v","100.000000","M ","v","100.000000","M","l","100.000000","M","v","100.000000","N","l","100.000000","N","v","100.000000","1","l","100.000000","00","m","100.000000","D","l","100.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","l","100.000000","NA","l","100.000000","ND","l","100.000000","O","l","100.000000","#","m","100.000000","1C","v","100.000000","D","l","100.000000","V","l","100.000000","#","v","100.000000","N","l","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","20","m","100.000000","1","l","100.000000"
"70017","4","m","90.000000","4","m","90.000000","2","m","100.000000","3","h","90.000000","2","m","100.000000","L ","m","90.000000","L ","m","90.000000","M ","v","90.000000","M ","v","90.000000","M","m","90.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","1","m","90.000000","15","m","90.000000"," ","v","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","  ","v","90.000000"," ","v","90.000000","H","m","100.000000","1C","v","100.000000","D","m","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","90.000000","1","m","90.000000"
"70018","4","m","90.000000","4","m","100.000000","3","m","80.000000","3","h","90.000000","3","m","80.000000","H ","m","80.000000","H ","m","80.000000","H ","v","80.000000","H ","v","80.000000","M","m","90.000000","M","v","90.000000","N","m","90.000000","N","v","90.000000","2","m","80.000000","00","m","90.000000"," ","v","80.000000","H","l","90.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","100.000000","1C","v","100.000000","D","m","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","80.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","90.000000","2","m","80.000000"
"70019","4","m","90.000000","4","m","90.000000","3","m","80.000000","3","h","100.000000","3","m","80.000000","H ","m","80.000000","H ","m","80.000000","H ","v","90.000000","H ","v","90.000000","M","m","90.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","80.000000","00","m","80.000000"," ","v","80.000000","H","l","90.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","90.000000","1C","v","100.000000","D","m","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","80.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","80.000000","2","m","80.000000"
"70020","4","m","100.000000","4","m","100.000000","3","m","90.000000","3","h","90.000000","3","m","100.000000","H ","m","100.000000","H ","m","100.000000","H ","v","100.000000","H ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","100.000000","00","m","100.000000"," ","v","80.000000","H","l","90.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","90.000000","1C","v","90.000000","D","m","100.000000","V","h","80.000000","#","v","100.000000","N","h","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","90.000000","2","m","100.000000"
"70021","4","m","100.000000","4","m","100.000000","3","m","90.000000","3","h","90.000000","3","m","100.000000","H ","m","100.000000","H ","m","100.000000","H ","v","100.000000","H ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","100.000000","00","m","100.000000"," ","v","80.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","90.000000","1C","v","90.000000","D","m","100.000000","V","h","80.000000","#","v","100.000000","N","h","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","90.000000","2","m","100.000000"
"70022","4","m","100.000000","4","m","100.000000","3","m","90.000000","3","h","80.000000","3","m","90.000000","H ","m","90.000000","H ","m","90.000000","H ","v","90.000000","H ","v","90.000000","M","m","100.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","2","m","90.000000","00","m","100.000000"," ","v","80.000000","H","l","90.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","90.000000","1C","v","90.000000","D","m","100.000000","V","h","90.000000","#","v","100.000000","N","h","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","100.000000","2","m","90.000000"
"70023","4","m","100.000000","4","m","100.000000","3","m","80.000000","3","h","90.000000","3","m","90.000000","H ","m","90.000000","H ","m","90.000000","H ","v","100.000000","H ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","90.000000","00","m","90.000000"," ","v","80.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","90.000000","1C","v","100.000000","D","m","100.000000","V","h","90.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","1","m","90.000000","2","m","100.000000"
"70024","4","m","100.000000","4","m","100.000000","3","m","80.000000","3","h","80.000000","3","m","100.000000","H ","m","100.000000","H ","m","100.000000","H ","v","100.000000","H ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","100.000000","00","m","100.000000"," ","v","80.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","80.000000","1C","v","100.000000","D","m","100.000000","V","h","80.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","100.000000","2","m","100.000000"
"70025","4","m","100.000000","4","m","100.000000","3","m","100.000000","3","h","90.000000","3","m","90.000000","H ","m","90.000000","H ","m","90.000000","H ","v","90.000000","H ","v","90.000000","M","m","100.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","2","m","90.000000","00","m","100.000000"," ","v","80.000000","H","l","80.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","100.000000","1C","v","80.000000","D","m","100.000000","V","h","90.000000","#","v","100.000000","N","h","100.000000","L","v","80.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","90.000000","2","m","90.000000"
"70026","4","m","80.000000","4","m","80.000000","3","m","100.000000","3","h","80.000000","3","m","80.000000","H ","m","80.000000","H ","m","80.000000","H ","v","80.000000","H ","v","80.000000","M","m","100.000000","M","v","80.000000","N","m","100.000000","N","v","80.000000","2","m","80.000000","00","m","100.000000"," ","v","80.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","80.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","100.000000","1C","v","80.000000","D","m","100.000000","V","h","80.000000","#","v","100.000000","N","h","100.000000","L","v","80.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","100.000000","2","m","80.000000"
"70027","4","m","100.000000","4","m","100.000000","3","m","100.000000","3","h","90.000000","3","m","90.000000","H ","m","90.000000","H ","m","90.000000","H ","v","90.000000","H ","v","90.000000","M","m","100.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","2","m","90.000000","00","m","100.000000"," ","v","80.000000","H","l","90.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","100.000000","1C","v","80.000000","D","m","100.000000","V","h","90.000000","#","v","100.000000","N","h","100.000000","L","v","80.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","90.000000","2","m","90.000000"
"70028","4","m","100.000000","4","m","100.000000","3","m","90.000000","3","h","90.000000","3","m","80.000000","H ","m","80.000000","H ","m","80.000000","H ","v","90.000000","H ","v","90.000000","M","m","100.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","2","m","80.000000","00","m","90.000000"," ","v","80.000000","H","l","90.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","  ","v","80.000000"," ","v","80.000000","#","m","100.000000","1C","v","90.000000","D","m","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","1","m","90.000000","2","m","90.000000"
"70029","4","m","90.000000","4","m","90.000000","3","m","100.000000","3","h","100.000000","3","m","100.000000","H ","m","90.000000","H ","m","90.000000","H ","v","90.000000","H ","v","90.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","90.000000","00","m","100.000000"," ","v","100.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","  ","v","100.000000"," ","v","100.000000","#","m","90.000000","1C","v","100.000000","D","m","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","90.000000","2","m","90.000000"
"70030","4","m","100.000000","4","m","100.000000","3","m","90.000000","3","h","100.000000","3","m","90.000000","H ","m","90.000000","H ","m","90.000000","H ","v","90.000000","H ","v","90.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","90.000000","00","m","90.000000"," ","v","90.000000","H","l","90.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","  ","v","90.000000"," ","v","90.000000","#","m","100.000000","1C","v","100.000000","D","m","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","90.000000","2","m","90.000000"
"70031","4","m","90.000000","4","m","90.000000","3","m","90.000000","3","h","100.000000","3","m","90.000000","H ","m","90.000000","H ","m","90.000000","H ","v","100.000000","H ","v","100.000000","M","m","90.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","90.000000","00","m","90.000000"," ","v","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","  ","v","90.000000"," ","v","90.000000","#","m","100.000000","1C","v","100.000000","D","m","100.000000","V","h","100.000000","#","v","100.000000","N","h","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","90.000000","2","m","90.000000"
"70032","4","m","100.000000","4","m","100.000000","3","m","90.000000","3","h","90.000000","3","m","100.000000","H ","m","100.000000","H ","m","100.000000","H ","v","100.000000","H ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","100.000000","00","m","100.000000"," ","v","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","  ","v","90.000000"," ","v","90.000000","#","m","90.000000","1C","v","100.000000","D","m","100.000000","V","h","90.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","100.000000","2","m","100.000000"
"70033","4","m","90.000000","4","m","100.000000","3","m","90.000000","3","h","90.000000","3","m","90.000000","H ","m","100.000000","H ","m","100.000000","H ","v","100.000000","H ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","m","100.000000","00","m","100.000000"," ","v","90.000000","H","l","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","  ","v","90.000000"," ","v","90.000000","#","m","100.000000","1C","v","90.000000","D","m","100.000000","V","h","90.000000","#","v","100.000000","N","h","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","1","m","100.000000","2","m","100.000000"
